rootfile,date,run,stream,total,npu,pu
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00365502.calibration_PCPEB.k1023_m2037.1026-1.tot.root,-1026-1,365502,PCPEB,4179424,4179422,2
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00365573.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1026-1,365573,PCPEB,30397648,30397535,113
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00365602.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1026-1,365602,PCPEB,39169322,39169133,189
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00365678.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1026-1,365678,PCPEB,21036823,21036336,487
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00365681.calibration_PCPEB.k1029_m2048.1028-1.tot.root,-1026-1,365681,PCPEB,44226961,44225632,1329
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00365709.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1026-1,365709,PCPEB,51987100,51986184,916
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00365752.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1026-1,365752,PCPEB,53048700,53046502,2198
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00365834.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1026-1,365834,PCPEB,23580549,23580422,127
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00365914.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1026-1,365914,PCPEB,27804675,27804596,79
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00365932.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1026-1,365932,PCPEB,58431398,58430371,1027
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00366011.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1026-1,366011,PCPEB,60466805,60466354,451
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00366092.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1026-1,366092,PCPEB,61208066,61206623,1443
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00366268.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1026-1,366268,PCPEB,90450859,90450260,599
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00367170.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1026-1,367170,CCPEB,47273142,47256478,16664
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00367318.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1026-1,367318,CCPEB,53245006,53206917,38089
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00367321.calibration_CCPEB.k1029_m2048.1028-1.tot.root,-1026-1,367321,CCPEB,50920679,50880401,40278
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00367363.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1026-1,367363,CCPEB,1550172,1546601,3571
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00367364.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1026-1,367364,CCPEB,53754866,53710955,43911
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.anabel.test-spmethod-anabel--1026-1.00367365.calibration_CCPEB.k1029_m2048.1028-1.tot.root,-1026-1,367365,CCPEB,24819382,24790853,28529
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366337.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366337,PCPEB,73964397,73964198,199
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366383.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366383,PCPEB,596779,596779,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366413.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366413,PCPEB,57224525,57224243,282
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366526.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366526,PCPEB,202757,202757,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366528.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366528,PCPEB,38681057,38680946,111
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366627.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366627,PCPEB,50521778,50521689,89
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366691.calibration_PCPEB.k1029_m2048.1028-1.tot.root,-1030-2,366691,PCPEB,67858219,67858132,87
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366754.calibration_PCPEB.k1029_m2048.1201-1.tot.root,-1030-2,366754,PCPEB,59161898,59161817,81
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366805.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366805,PCPEB,44582389,44582334,55
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366860.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366860,PCPEB,55525395,55525304,91
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366878.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366878,PCPEB,59483585,59483420,165
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366931.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366931,PCPEB,42339780,42339302,478
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00366994.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,366994,PCPEB,1141672,1141645,27
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367023.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367023,PCPEB,65262236,65261649,587
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367134.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367134,PCPEB,60539743,60538463,1280
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367165.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367165,PCPEB,198673,198658,15
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367170.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367170,PCPEB,52760065,52759426,639
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367318.calibration_PCPEB.k1029_m2048.1028-1.tot.root,-1030-2,367318,PCPEB,45944198,45942687,1511
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367321.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367321,PCPEB,57958623,57956183,2440
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367363.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367363,PCPEB,1912942,1912703,239
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367364.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367364,PCPEB,61129964,61127103,2861
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.vbailey.test-spmethod-vbailey--1030-2.00367365.calibration_PCPEB.k1029_m2048.1026-1.tot.root,-1030-2,367365,PCPEB,28664341,28662378,1963
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-3655121224_1.00365512.calibration_CCPEB.k1023_m2037.0107_1.tot.root,21224_1,365512,CCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-3655121224_1.00365512.calibration_PCPEB.k1023_m2037.0107_1.tot.root,21224_1,365512,PCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-3656810107_1.00365681.calibration_CCPEB.k1029_m2048.0107_1.tot.root,10107_1,365681,CCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-3660290107_1.00366029.calibration_PCPEB.k1029_m2048.0107_1.tot.root,90107_1,366029,PCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-3660920107_1.00366092.calibration_CCPEB.k1029_m2048.0107_1.tot.root,20107_1,366092,CCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-3666910107_1.00366691.calibration_CCPEB.k1029_m2048.0107_1.tot.root,10107_1,366691,CCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00365502.calibration_CCPEB.k1023_m2037.1026-1.tot.root,-1028-1,365502,CCPEB,3750427,3750427,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00365573.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,365573,CCPEB,27836749,27832250,4499
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00365602.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,365602,CCPEB,35105343,35098395,6948
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00365678.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,365678,CCPEB,18284955,18275717,9238
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00365709.calibration_CCPEB.k1029_m2048.1201-1.tot.root,-1028-1,365709,CCPEB,46051606,46033681,17925
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00365752.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,365752,CCPEB,46809766,46780813,28953
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00365834.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,365834,CCPEB,21210824,21206396,4428
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00365914.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,365914,CCPEB,25243781,25240594,3187
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00365932.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,365932,CCPEB,51931760,51906595,25165
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366011.calibration_CCPEB.k1029_m2048.1201-1.tot.root,-1028-1,366011,CCPEB,41934984,41919565,15419
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366029.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366029,CCPEB,49682226,49658188,24038
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366268.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366268,CCPEB,80131351,80105289,26062
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366337.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366337,CCPEB,65569393,65554801,14592
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366383.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366383,CCPEB,547506,547497,9
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366413.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366413,CCPEB,50286324,50270265,16059
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366526.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366526,CCPEB,167629,167607,22
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366528.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366528,CCPEB,33092408,33086840,5568
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366627.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366627,CCPEB,43753391,43747339,6052
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366754.calibration_CCPEB.k1029_m2048.1201-1.tot.root,-1028-1,366754,CCPEB,51742313,51728723,13590
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366805.calibration_CCPEB.k1029_m2048.1028-1.tot.root,-1028-1,366805,CCPEB,60323579,60306707,16872
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366860.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366860,CCPEB,53947435,53929407,18028
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366878.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366878,CCPEB,52535561,52514698,20863
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366931.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366931,CCPEB,36673836,36650794,23042
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00366994.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,366994,CCPEB,915772,914572,1200
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00367023.calibration_CCPEB.k1029_m2048.1201-1.tot.root,-1028-1,367023,CCPEB,48669391,48645430,23961
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00367134.calibration_CCPEB.k1029_m2048.1201-1.tot.root,-1028-1,367134,CCPEB,46236372,46204521,31851
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1028-1.00367165.calibration_CCPEB.k1029_m2048.1026-1.tot.root,-1028-1,367165,CCPEB,161494,161257,237
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00365627.calibration_CCPEB.k1029_m2048.1213_1.tot.root,-1213_1,365627,CCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00365627.calibration_PCPEB.k1029_m2048.1213_1.tot.root,-1213_1,365627,PCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00366142.calibration_CCPEB.k1029_m2048.1213_1.tot.root,-1213_1,366142,CCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00366142.calibration_PCPEB.k1029_m2048.1213_1.tot.root,-1213_1,366142,PCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00366476.calibration_CCPEB.k1029_m2048.1213_1.tot.root,-1213_1,366476,CCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00366476.calibration_PCPEB.k1029_m2048.1213_1.tot.root,-1213_1,366476,PCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00366919.calibration_CCPEB.k1029_m2048.1213_1.tot.root,-1213_1,366919,CCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00366919.calibration_PCPEB.k1029_m2048.1213_1.tot.root,-1213_1,366919,PCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00367099.calibration_CCPEB.k1029_m2048.1213_1.tot.root,-1213_1,367099,CCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00367099.calibration_PCPEB.k1029_m2048.1213_1.tot.root,-1213_1,367099,PCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00367233.calibration_CCPEB.k1029_m2048.1213_1.tot.root,-1213_1,367233,CCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00367233.calibration_PCPEB.k1029_m2048.1213_1.tot.root,-1213_1,367233,PCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00367273.calibration_CCPEB.k1029_m2048.1213_1.tot.root,-1213_1,367273,CCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00367273.calibration_PCPEB.k1029_m2048.1213_1.tot.root,-1213_1,367273,PCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00367384.calibration_CCPEB.k1029_m2048.1213_1.tot.root,-1213_1,367384,CCPEB,0,0,0
/atlasgpfs01/usatlas/data/cher97/spmethod/tots/user.xiaoning.test-spmethod-xiaoning--1213_1.00367384.calibration_PCPEB.k1029_m2048.1213_1.tot.root,-1213_1,367384,PCPEB,0,0,0
